term|description|level|synonym|scale
panilas|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
panisga|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
panuco|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|2
papava-te tipo happy meal|é um:| calão|none|2
para lá de Santa Cona do Assobio|diz-se de um sítio muito longe| calão carroceiro|" n3; ficar lá para os quintos dos infernos; morar em casa do Diabo mais velho; cascos de rolha;
          ficar para lá do sol posto; mais longe que o caralho mais velho; onde o Diabo perdeu as botas;
          depois do fim do mundo; no meio de nenhures; onde Judas perdeu as botas"|3
parece que andas a pisar ovos|é um:| coloquial|none|1
parreco|órgão sexual feminino| calão|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|2
passar a casa a pano|acto sexual oro-genital, lamber a vagina| calão carroceiro| trombada; minete; cunilingus; lamber-te; felácio; broche feminino|3
passarinha|órgão sexual feminino| calão|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|2
passar-se|ficar maluco momentaneamente| calão| flipar; marar; perder a cabeça; pirar de vez; estar a dar tilt|2
passar-se dos carretos|&bullet; _ muito zangado| coloquial|" ficar verde de raiva; estar pior que estragado; estar fora de si; perder as estribeiras; estar
          virado do avesso; ficar piurso; ficar uma fera; ficar furioso; ficar furibundo; ficar tresloucado;
          ficar deitar fumo pelas orelhas; saltar-lhe a tampa; mandar-se ao tecto; perder a tramontana; perder
          o norte; desnortear-se; ferver em pouca água; ferver-lhe o sangue nas veias"|1
pasta|dinheiro| coloquial|" carcanhois; bago; taco; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil
          metal; grana; pastel; dinheiro; guito; guita; tutu; verdinha"|1
pastel|pessoa muito lenta que se não mexe e sem iniciativa, pessoa falsa| coloquial| morcão; sonso; lesma; cromo; papa-açorda|1
patareca|órgão sexual feminino| calão|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|2
patranha|mentira, partida, brincadeira| coloquial| grupo; treta; peta; reinação; bai no Batalha|1
pau|órgão sexual masculino, pénis, pênis| calão||2
pdi|é um:| calão|none|2
pechenga|é um:| calão carroceiro|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria;
          rameira"|3
pechincha|quase gratuitamente, preço muito baixo, económico, barato| coloquial|" ao desbarato; a preço irrisório; ao preço da chuva; pelo preço da uva mijona; por tuta-e-meia;
          cinco reis de mel coado"|1
pedrado|diz-se de alguém que está sob a influência da droga| coloquial| drogado; estar com a moca|1
pegajoso|&bullet; alguma coisa que se cola a tudo| coloquial| viscoso; peganhento; gorduroso; sebento; emplastro|1
peganhento|&bullet; alguma coisa que se cola a tudo| coloquial| viscoso; pegajoso; gorduroso; sebento; emplastro|1
peida|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão carroceiro| bunda; alcofa; cu; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate|3
peidar-se|saída de gazes intestinais| calão carroceiro| largar bombarda; bufar-se; traquejar|3
peido|saída de gazes intestinais| calão carroceiro| flatulência; traque; bufa; farpa; pum; bombarda|3
peidociclo|motociclo velho com escape irritantemente ruidoso e com mau cheiro| calão|none|2
peidola|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão carroceiro| bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; pacote; regueifa; cagueiro; zuate|3
penca|é um:| coloquial| tronchuda|1
penetra|"aquele que se faz abusivamente convidado em festas ou comemorações. Aquele que entra sem convite
        "| calão| intruso; passageiro clandestino|2
pentelho|pêlos púbicos| calão muito carroceiro| pintelho; arbusto|4
perseguida|órgão sexual feminino| coloquial|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|1
pertencer à ordem de S. Cornélio|é um:| calão| cornudo; corno; pôr os cornos|2
piça|órgão sexual masculino, pénis, pênis| calão carroceiro||3
piçada|repreensão, reprimenda forte| calão carroceiro|" ouvir um raspanete; levar um raspanço; ouvir um ralhete; levar uma descompustura; levar uma
          desanda; pregar um sermão"|3
piçalho|órgão sexual masculino, pénis, pênis| calão carroceiro||3
picha|órgão sexual masculino, pénis, pênis| calão carroceiro||3
pichota|órgão sexual masculino, pénis, pênis| calão||2
piço|sorte| calão carroceiro| mijo; paio; reco; chouriço|3
picolho|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|2
piçudo|pessoa com muita sorte| calão| sortudo; mijão|2
picuinha|crítica constante, remoque| coloquial| pirraça; má vontade; perseguição; implicância|1
pifar|furtar, roubar| coloquial|" bifar; gamar; afanar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a"|1
pila|órgão sexual masculino, pénis, pênis| coloquial||1
pildra|cadeia| coloquial| choça; xilindró; prisão; prisa; calabouço; masmorras; cárcere; xadrez|1
pimenta no cu dos outros é refresco|ser demasiado indiferente ao sofrimento dos outros| calão carroceiro|none|3
pinar|ter relações sexuais| coloquial||1
pincel|órgão sexual masculino, pénis, pênis| calão||2
pingalim|parte dos órgãos sexuais femininos| calão muito carroceiro| grelo; clitóris|4
pinocada|copular| calão|" foda; queca; coito; tricofáix; dar uma rapidinha; dar uma trancada; dar uma caimbrada; berlaitada;
          cambalhota"|2
pinocar|ter relações sexuais| calão||2
pintar a macaca|&bullet; endiabrado| coloquial|" levado da breca; levado da casqueira; pintar o caneco; pintar o Diabo a quatro; pintar a manta;
          pintar o sete"|1
pintar a manta|&bullet; endiabrado| coloquial|" levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar o Diabo a quatro;
          pintar o sete"|1
pintar a sanita|diarreia| coloquial| estar com a caganeira; desarranjo dos intestinos; furrica; furriqueira; desventria|1
pintar o Diabo a quatro|&bullet; endiabrado| coloquial|" levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar a manta; pintar o
          sete"|1
pintar o caneco|&bullet; endiabrado| coloquial|" levado da breca; levado da casqueira; pintar a macaca; pintar o Diabo a quatro; pintar a manta;
          pintar o sete"|1
pintar o sete|&bullet; endiabrado| coloquial|" levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar o Diabo a quatro;
          pintar a manta"|1
pintelho|pêlos púbicos| calão muito carroceiro| pentelho; arbusto|4
pinto|órgão sexual masculino, pénis, pênis| coloquial||1
pinto calçudo|diz-se de alguém deselegante e desajeito| coloquial|none|1
pipi|é um:| coloquial|" cona; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|1
piriguete|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        "|2
pirilau|órgão sexual masculino, pénis, pênis| calão||2
piripalho|ex.:| calão|none|2
piroca|órgão sexual masculino, pénis, pênis| calão||2
pirola|órgão sexual masculino, pénis, pênis| calão||2
pirona|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|3
pirralho|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| coloquial| ganapo; pivete; catraio; puto; miúdo; garoto; guri; cacafelho|1
piscareto|pessoa que tem o hábito ou o tique de piscar frequentemente ou excessivamente os olhos| coloquial|none|1
pita|mulher jovem, ainda não totalmente mulher| coloquial| miúda; marrã|1
pitaço|órgão sexual feminino| calão|" cona; pipi; pito; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|2
pitéu|mulher ou rapariga muito jeitosa| coloquial| toura; tuxa; mulher boa; bomba; boazona; és toda grossa; conaça; fema; borracho|1
pito|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|4
pivete|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| coloquial| ganapo; pirralho; catraio; puto; miúdo; garoto; guri; cacafelho|1
poça!|interjeição de desagrado ou de espanto| calão|" foda-se!; caralho!; carago!; caraças; caramba; porra; droga!; chiça; arre porra!; puta que pariu!
        "|2
pomada|vinho| coloquial| bebida; precioso néctar; tintol|1
pombinha|órgão sexual feminino| coloquial|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|1
ponteiro|órgão sexual masculino, pénis, pênis| coloquial||1
pôr os palitos a|trair, ser (sexualmente) infiel a alguém| calão| pôr os palitos; pular a cerca|2
pôr os cornos|&bullet; aquele que é enganado (sexualmente) pela mulher| calão carroceiro| cornudo; corno; pertencer à ordem de S. Cornélio|3
pôr os palitos|trair, ser (sexualmente) infiel a alguém| calão| pular a cerca; pôr os palitos a|2
porra|órgão sexual masculino, pénis, pênis| calão||2
porro|"cigarro feito à mão (mistura de tabaco e haxixe|erva) "| calão| ganza; charro; broca|2
postal|diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo| coloquial| chato; aborrecido; incomodativo; melga; gosma; fega; cromo; autocolante; adesivo; besunta|1
prateleiras|seios de mulher, busto| coloquial| mamas; tetas; marmelos; holofotes; peitos; faróis; pára-choques; seios; marufas|1
prisa|cadeia| coloquial| pildra; choça; xilindró; prisão; calabouço; masmorras; cárcere; xadrez|1
|pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) | calão||2
|pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) | calão||2
|pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) | calão||2
prostiputa|é um:| calão carroceiro|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; barregã; cuarra; meretriz; vaca; vaca descomunal;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        "|3
proxeneta|é um:| calão| chulo; azeiteiro; azeite; macaronho|2
pulha|é um:| calão|" canalha; calhordas; bandalho; patife; escroque; sacana; sacripanta; sacrista; biltre; velhaco;
          futre"|2
punheta|"prato à base de bacalhau cru (uma espécie de salada) com cebola,
          azeitonas e tudo regado com um bom azeite.
          O bacalhau, normalmente, é desfiado.
        "| calão|none|2
punheta de mamas|copular substituindo a vagina pelo seio das mamas| calão muito carroceiro| espanholada|4
puta|é um:| calão carroceiro|" mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau porte;
          mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|3
putanheiro|&bullet; indivíduo que vive à custa de uma prostituta| calão carroceiro| gigolô; chulo; alcoviteiro; rufião|3
puta que pariu!|interjeição de desagrado ou de espanto| calão carroceiro| foda-se!; caralho!; carago!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!|3
putaria|prática de actos libidinosos| calão carroceiro|none|3
putedo|conjunto de putas| calão carroceiro| galdérias; levianas|3
putéfia|é um:| calão carroceiro|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|3
puto|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| calão| ganapo; pirralho; pivete; catraio; miúdo; garoto; guri; cacafelho|2
queca|copular| calão carroceiro|" foda; pinocada; coito; tricofáix; dar uma rapidinha; dar uma trancada; dar uma caimbrada;
          berlaitada; cambalhota"|3
que canudo!|interjeição de desagrado| coloquial| que caralho!; que gaita!; que merda!; que coisa!|1
que caralho!|interjeição de desagrado| calão carroceiro| que canudo!; que gaita!; que merda!; que coisa!|3
que coisa!|interjeição de desagrado| coloquial| que caralho!; que canudo!; que gaita!; que merda!|1
que coisa chunga!|diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação| coloquial| que rabetice!; que pirusada!|1
que gaita!|interjeição de desagrado| coloquial| que caralho!; que canudo!; que merda!; que coisa!|1
que grande piço|ser um acto de sorte| calão| ser um piço|2
queimar rosca|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; levar na anilha; tirar leito do
          pau"|3
quem arrota quer pichota!|é um:| calão carroceiro| quem retorquiu caralho pediu!|3
que merda!|interjeição de desagrado| calão carroceiro| que caralho!; que canudo!; que gaita!; que coisa!|3
quem retorquiu caralho pediu!|é um:| calão carroceiro| quem arrota quer pichota!|3
quenga|é um:| calão carroceiro|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria;
          rameira"|3
que pirusada!|diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação| coloquial| que rabetice!; que coisa chunga!|1
que rabetice!|diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação| coloquial| que pirusada!; que coisa chunga!|1
quilhar|causar prejuízos ou embaraços a alguém| coloquial| foder; tramar; lixar; prejudicar|1
quilhões|elemento constituinte dos órgãos sexuais masculinos| calão muito carroceiro| colhões; tomates; testículos|4
quinar|morreu, faleceu| coloquial|" bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; dar o peido mestre; dormir
          o sono eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; abotoar o paletó;
          entregar a alma a Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; virar
          presunto; partir deste mundo"|1
rabeta|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
rabo|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão carroceiro| bunda; alcofa; cu; peida; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate|3
racha|órgão sexual feminino| calão|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|2
ramada|ficar bêbado, beber de mais| coloquial|" bebedeira; carraspana; puta; piela; narsa; encher a cara; entornar o barril; entornar o caneco; ir
          a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na asa; estar
          com dois dedos de gramática; tomar um porre; encharcado"|1
rameira|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria"|2
rata|órgão sexual feminino| calão estupidamente carroceiro|" cona; pipi; pito; pitaço; pirona; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|5
rebola|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
reco|sorte| coloquial| mijo; paio; piço; chouriço|1
rego|espaço entre as bochechas do cu ou das mamas| calão| cangosta; vale|2
regueifa|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| coloquial| bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; cagueiro; zuate|1
reinação|mentira, partida, brincadeira| coloquial| grupo; treta; peta; patranha; bai no Batalha|1
reinaldice|é um:| coloquial|none|1
reputenga|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; vadia; oferecida; bicha de angola; galdéria; rameira
        "|2
ri-te ri-te que quando descobrires que a vaselina tem areia|aviso, ameaça| calão carroceiro|none|3
roto|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; abafa-palhinha; gay; bamby; xibungo"|2
saltar-lhe na pachacha|copular| calão carroceiro| dar nela|3
são muitos anos a virar frangos|tenho muita experiência| coloquial|none|1
saradão|homem muito musculado| coloquial| monstrão; Rambo|1
sardão|órgão sexual masculino, pénis, pênis| calão||2
saroto|cão com o rabo cortado| coloquial|none|1
sarraceno|term depreciativo para designar os lisboetas e habitantes do sul| coloquial| mouro|1
sebento|&bullet; alguma coisa que se cola a tudo| coloquial| viscoso; peganhento; pegajoso; gorduroso; emplastro|1
segóvia|masturbação masculina| calão muito carroceiro|" bater uma pívia; tocar à punheta; esgoviar; espancar o marreco; jogar bilhar de bolso; esgalhar o
          ganso; esgalhar o pessegueiro"|4
ser abichanado|ser amaricado, de gosto duvidoso| coloquial|none|1
ser aquecedor|aquece as mulheres para os outros irem lá| calão| ser microondas|2
ser cavalo de cortesias|pessoa que habitualmente se excede em cumprimentos e mesuras| coloquial| cerimonioso; mesureiro|1
corno|&bullet; aquele que é enganado (sexualmente) pela mulher| calão carroceiro| cornudo; pertencer à ordem de S. Cornélio; pôr os cornos|3
cornudo|&bullet; aquele que é enganado (sexualmente) pela mulher| calão carroceiro| corno; pertencer à ordem de S. Cornélio; pôr os cornos|3
ser do tempo do arroz de quinze|coisa muito antiga| coloquial|none|1
ser fodido|"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) "| calão| ser levado do Diabo; ser levado da breca; ser quilhado; ser lixado|2
ser lixado|"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) "| coloquial| ser levado do Diabo; ser levado da breca; ser fodido; ser quilhado|1
ser mais velho que o cagar|coisa óbvia e sobejamente conhecida| calão| essa é mais velha do que o cagar de pé; vulgaridade|2
ser marado dos cornos|ser doido, sem juízo| coloquial| Sócio da fnac; amalucado; destravado; desmiolado; abiscoidato|1
ser microondas|aquece as mulheres para os outros irem lá| calão carroceiro| ser aquecedor|3
ser o caralho|ser algo muito difícil| calão|none|2
ser óptimo a dar traques com o cu dos outros|&bullet; alguém que oferece generosamente os préstimos dos outros| calão| fazer fogo com pólvora alheia|2
ser parecida com o pai|rapariga com muito pouco volume de peito| calão|none|2
ser quilhado|"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) "| coloquial| ser levado do Diabo; ser levado da breca; ser fodido; ser lixado|1
ser uma baranga|uma mulher grande, deselegante e desajeitada| calão| basculho; camafeu; cavalona; fubanga; ser um bacalhau|2
mulher de cona funda|é um:| calão muito carroceiro| mulher de armas; padeira de Aljubarrota|4
ser um bananas|"&bullet; alguém que não (se impõe|tem vontade própria) "| calão| ser um bola de naftalina|2
ser um cagalhão engomado|uma pessoa vaidosa e bem vestida mas que não vale nada| calão|none|2
ser um casca-grossa|é um:| calão|" bertoldo; burgesso; ordinário; alarve; boçal; analfabruto; analfabesta; grosseiro; brutamontes;
          achavascado; rude; matarruano"|2
ser um homem com tomates|ser valente| coloquial| ter-os no sítio|1
não fede nem cheira|"&bullet; pessoa de fracas posses ou condição e que o evidencia no seu comportamento ou no trajar.
          Rasca"| calão| Zé-Ninguém; borra-botas|2
ser um peida gadocha|é um:| calão|none|2
ser um pé no saco|&bullet; ser difícil| calão| ser um osso duro de roer; ser dose; não ser pêra doce|2
ser um piço|ser um acto de sorte| calão| que grande piço|2
siririca|masturbação feminina| calão muito carroceiro|none|4
snaita|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; aranha; fanesga; boca do corpo; xana"|3
só chupanço por aqui|" ""só chupanços por aqui"" resposta caustica quando alguém diz,
          ""és linda"" , ""muito gira"" etc "| calão|none|2
subir na horizontal|usar de favores sexuais para subir profissionalmente| coloquial|none|1
sulfato de peúga|mau cheiro dos pés| coloquial| chulé; arma de desdruição massiva|1
supra-sumo da barbatana|&bullet; algo ou alguém que é apresentado como excepcional, mas que é irrelevante| coloquial| supra-sumo da batata|1
supra-sumo da batata|&bullet; algo ou alguém que é apresentado como excepcional, mas que é irrelevante| coloquial| supra-sumo da barbatana|1
surrapiar|é um:| coloquial|none|1
surripiar|furtar, roubar| coloquial|" bifar; pifar; gamar; afanar; gardanho; rapinar; fanar; roubar; palmar; empalmar; fazer mão leve a
        "|1
tá a andar de mota|desaparece!| calão| põe-te a andar!; põe-te a milhas!; baza!; monta num porco e baza!; desanda!; põe-te na alheta!|2
taco|dinheiro| coloquial|" carcanhois; bago; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil metal;
          grana; pastel; pasta; dinheiro; guito; guita; tutu; verdinha"|1
taco de pia|pessoa pequena| calão| caga-tacos; rodas-baixas; minorca; roda 24|2
taveirada|é um:| calão|none|2
Tens mais cornos que um prato de caracóis meu grande filho da puta !|insulto a árbitro do mais violento e arrasador que se consegue| calão carroceiro|" Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Corta a tua mãe às postas e faz
          arroz de puta; Filho de um saco de putas"|3
ter a rosca moída|ser ou parecer maluco, apresentar comportamentos completamente irracionais| coloquial|" ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; não
          bater bem da bola; bater mal da tola; não ser bom da cabeça"|1
ter de comer muita broa|ainda te falta crescer, evoluir, aprender muita coisas| coloquial| ter muito que andar|1
ter o cu quadrado|ter as nádegas doridas de se ter estado demasiado tempo sentado| calão|none|2
ter-os no sítio|ser valente| coloquial| ser um homem com tomates|1
ter pancada na mola|ser ou parecer maluco, apresentar comportamentos completamente irracionais| coloquial|" ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter a rosca moída; não
          bater bem da bola; bater mal da tola; não ser bom da cabeça"|1
ter três vinténs|"(tirar|ter) a virgindade"| calão carroceiro| tirar os três|3
ter um parafuso a menos|ser ou parecer maluco, apresentar comportamentos completamente irracionais| coloquial|" ter macaquinhos no sótão; faltar-lhe um parafuso; ter pancada na mola; ter a rosca moída; não bater
          bem da bola; bater mal da tola; não ser bom da cabeça"|1
tesão|emoção, vontade| calão| não dar pica|2
tetas|seios de mulher, busto| calão| mamas; marmelos; holofotes; peitos; faróis; pára-choques; seios; prateleiras; marufas|2
tipo|usa-se como um modo, ligeiramente irreverente, de referir uma pessoa| coloquial| gajo; meco; caramelo; indivíduo; fulano; fabiano; bacano; mano; melro|1
tirar do cu com um gancho|&bullet; atividade mal feita, feita à pressa, sem planeamento, sem arte| calão carroceiro|" atamancado; feito em cima dos joelhos; feito às três pancadas; meia bola e força; pontapé para a
          frente e fé em Deus; de qualquer maneira; improvisar"|3
tirar leito do pau|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; levar na anilha; queimar rosca
        "|3
tirar os três|"(tirar|ter) a virgindade"| calão carroceiro| ter três vinténs|3
tocar à punheta|masturbação masculina| calão estupidamente carroceiro|" bater uma pívia; segóvia; esgoviar; espancar o marreco; jogar bilhar de bolso; esgalhar o ganso;
          esgalhar o pessegueiro"|5
toino|é um:| coloquial| parolo; saloio; tosco; broeiro; rude; montanheiro|1
tomar um porre|ficar bêbado, beber de mais| calão|" bebedeira; carraspana; ramada; puta; piela; narsa; encher a cara; entornar o barril; entornar o
          caneco; ir a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na
          asa; estar com dois dedos de gramática; encharcado"|2
tomates|é um:| calão| colhões; quilhões; testículos|2
