,term,description,level,synonym,scale
915,colidir,"Ter um acidente com embate (em automóvel, moto, bicicleta) ",none,,0
916,colo de brocha,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come sopa de minhoca; come merda que não tem osso,3
917,com a cona aos pulos,diz-se de uma mulher com vontade de sexo, calão muito carroceiro, estar com o pito aos saltos; estar com o cio; estar com tusa; estar cheia de fome,4
918,com a pulga atrás da orelha,"desconfiado, com desconfiança",none,none,0
919,combinar bem,"estar a condizer (cores, géneros, formas) , a fazer simetria",none, fazer pandango,0
920,comboio dos torresmos,comboio lento que pára em todas as estações e apeadeiros,none,none,0
921,com duas caras,alguém traiçoeiro,none,none,0
922,com duas pedras na mão,patt:,none,none,0
923,come merda que não tem osso,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come sopa de minhoca; colo de brocha,3
924,comer à fartar vilanagem,"à larga, em grandes quantidades",none, comer à tripa-forra; à fartazana,0
925,,tem um sentido libidinoso,none,none,0
926,comer as papas na cabeça,,none,none,0
927,comer à tripa-forra,"à larga, em grandes quantidades",none, comer à fartar vilanagem; à fartazana,0
928,comer comida de urso,"apanhar pancada, ser sovado", calão, levar para o tabaco,2
929,comer como um abade,comer muito,none,none,0
930,comer gato por lebre,ser enganado ou enganar,none,none,0
931,comer e calar,não refilar,none,none,0
932,comer o pão que o Diabo amassou,passar por grandes dificuldades e provações,none, cortar um dobrado,0
933,comer sopas de cavalo cansado,patt:,none,none,0
934,comes e bebes,,none,none,0
935,come sopa de minhoca,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come merda que não tem osso; colo de brocha,3
936,argolada,"errar, enganar-se escandalosamente",none, meter o pé na argola; meter a pata na poça; gafe; meter água,0
937,gafe,"errar, enganar-se escandalosamente",none, meter o pé na argola; meter a pata na poça; argolada; meter água,0
938,comezaina,"festa, normalmente envolvendo beber uns copos",none," borga; paródia; pândega; trolaró; pagode; tainada; patuscada; festarola; andar na boa-vai-ela;
          cópios; naite",0
939,comilão,pessoa com apetite devorador e estômago de infinita capacidade,none, lateiro; limpa-travessas; betoneira; glutão,0
940,com mil demónios!,patt:,none,none,0
941,com nervoso miudinho,,none,none,0
942,com o barulho das luzes,circunstâncias confusas,none,none,0
943,com o coração nas mãos,,none,none,0
944,com o Diabo no corpo,,none,none,0
945,como diz o outro,,none,none,0
946,como dois pombinhos,de modo muito apaixonado,none,none,0
947,como estás? nunca pior,expressão depressiva pseudo-optimista que no fundo não diz nada,none," pelo menos não está a chover; podia ser pior; convém é acordar vivo. Acordas morto estás fodido;
          para pior não pode ir",0
948,como gato sobre brasas,rapidamente,none,none,0
949,como gente grande,"fazer as coisas bem feitas..., com grande mestria",none, como manda a sapatilha; como manda o figurino,0
950,como manda a sapatilha,é um:,none, como manda o figurino; como gente grande,0
951,como manda o figurino,"fazer as coisas bem feitas..., com grande mestria",none, como manda a sapatilha; como gente grande,0
952,como pão para a boca,ex.:,none,none,0
953,como quem não quer a coisa,disfarçadamente,none,none,0
954,com o sangue na guelra,,none,none,0
955,com os tarecos às costas,,none,none,0
956,como um pinto,todo molhado,none,none,0
957,como um príncipe,,none,none,0
958,como um raio,muito rapitamente,none,none,0
959,como veio ao mundo,"sem roupa, despido",none," nu; em pêlo; em pelote; nuzinho da Silva; estar como Deus o deitou ao mundo; estar em couro;
          pelacho",0
960,com paninhos quentes,"de modo conciliador e delicado. Dizer algo desagradável ou difícil de aceitar de forma provisória ou
          minimizando os aspectos negativos inerentes ao facto a reportar ou comunicar",none, dourar a pílula; adoçar a pílula; aligeirar; sem ferir susceptibilidades; eufemismo,0
961,com pés de ladrão,"vir sem barulho, silenciosamente, disfarçadamente",none, pé ante pé; vir com pezinhos de lã; sorrateiramente; à socapa,0
962,com pés e cabeça,com sentido e planeamento,none,none,0
963,com pilhas de graça,"de modo cómico, hilariante",none,none,0
964,compincha,"amigo próximo, companheiro",none, mano; parceiro; Manolo,0
965,complicação,problema ou situação complicada,none, alhada; sarilho; embrulhada; berbicacho; grande chumbadela,0
966,compor o ramalhete,ex.:,none,none,0
967,comprar nabos em saco,não examinar o que se compra,none,none,0
968,compressor,seringa para injectar droga,none, seringa; caneta; bomba; chica; martelo; gringa,0
969,comprometido,"aspeto comprometido, culpado, envergonhado pela acção que praticou",none, encaralhado,0
970,com punhos de renda,,none,none,0
971,com que se compram os melões,referência dinheiro,none,none,0
972,com toda a força,"excelente, algo muito bom, muito grande",none, de arrebimba o malho; à bruta; mais melhor bom; ser do caralhão,0
973,com todos os matadores,sem faltar nada, coloquial,none,1
974,com uma mão à frente e outra atrás,em atitude de pedinte,none,none,0
975,com uma mão por baixo e outra por cima,,none,none,0
976,com um copo a mais,estar bêbado,none, estar com os copos; bêbado como um cacho; estar com a pinga,0
977,cona,órgão sexual feminino, calão muito carroceiro," pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",4
978,conaça,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; crica;
          aranha; fanesga; boca do corpo; xana; snaita",4
979,cona de sabão,sujeito que só atrapalha, calão carroceiro, enreda; empata; empecilho; estrupício,3
980,condutor de chapéu preto,alguém sem experiência de condução que anda muito devagar e atrapalha o trânsito,none, condutor de fim de semana; condutor de domingo; domingueiro,0
981,condutor de domingo,alguém sem experiência de condução que anda muito devagar e atrapalha o trânsito,none, condutor de fim de semana; domingueiro; condutor de chapéu preto,0
982,condutor de fim de semana,alguém sem experiência de condução que anda muito devagar e atrapalha o trânsito,none, condutor de domingo; domingueiro; condutor de chapéu preto,0
983,coneirão,pessoa que usa a subserviência para sobreviver,none, lambe-botas; lamber as botas; lamber os pés,0
984,coneirices,&bullet; factos ou coisas de pouco ou nenhum valor, calão carroceiro," cunices; merdices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada",3
985,coneiro,é um:, calão carroceiro, cagão; medricas; cagarolas; cobarde; cobardolas; roto; pancona; tanso; lerdo,3
986,confundir a estrada da Beira com a beira da estrada,é um:,none," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir cagalhões
          com nêsperas; confundir o olho do cu com a feira de Montemor; confundir o olho do cu com a feira de
          Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de fundo
          com o fundo do corredor; tomar a nuvem por Juno",0
987,confundir a obra-prima do mestre com a prima do mestre de obra,é um:,none," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Montemor; confundir o olho do cu com a feira de Borba; confundir o corredor de fundo com o fundo
          do corredor; tomar a nuvem por Juno",0
988,confundir cagalhões com nêsperas,é um:, calão carroceiro," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir o olho do cu com a feira de Montemor; confundir o olho do cu
          com a feira de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o
          corredor de fundo com o fundo do corredor; tomar a nuvem por Juno",3
989,confundir o corredor de fundo com o fundo do corredor,é um:,none," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Montemor; confundir o olho do cu com a feira de Borba; confundir a obra-prima do mestre com a
          prima do mestre de obra; tomar a nuvem por Juno",0
990,confundir o género humano com o Manuel Germano,é um:,none," misturar alhos com bugalhos; confundir a estrada da Beira com a beira da estrada; confundir
          cagalhões com nêsperas; confundir o olho do cu com a feira de Montemor; confundir o olho do cu com a
          feira de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor
          de fundo com o fundo do corredor; tomar a nuvem por Juno",0
991,confundir o olho do cu com a feira de Borba,é um:, calão," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Montemor; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno",2
992,confundir o olho do cu com a feira de Montemor,é um:, calão," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno",2
993,confusão,"situação confusa, anárquica ou com intento enganador",none, caldeirada; aldrabice; anarquia,0
994,confusão de narizes,&bullet; desorganização,none,none,0
995,conhecer às léguas,_ muito bem,none, conhecer como as próprias mãos; conhecer por dentro e por fora; conhecer de ginjeira,0
996,conhecer como as próprias mãos,_ muito bem,none, conhecer por dentro e por fora; conhecer de ginjeira; conhecer às léguas,0
997,conhecer de ginjeira,_ muito bem,none, conhecer como as próprias mãos; conhecer por dentro e por fora; conhecer às léguas,0
998,conhecer de vista,conhecer superficialmente,none,none,0
999,conhecer o nome aos bois,ser um perito,none, ser entendido no assunto; saber da poda,0
1000,conhecer os podres,,none,none,0
1001,conhecer o terreno,,none,none,0
1002,conhecer pela pinta,,none,none,0
1003,conhecer por dentro e por fora,_ muito bem,none, conhecer como as próprias mãos; conhecer de ginjeira; conhecer às léguas,0
1004,coninha de sabão,representa alguém que é manhoso e interesseiro, calão, interesseiro; egoísta; dissimulado; manhoso,2
1005,coño,é um:, calão carroceiro, nuestros hermanos,3
1006,consultar o travesseiro,"ponderar, pensar num assunto com calma, normalmente durante a noite",none, dormir sobre o assunto; dormir sobre o caso; pensar com os pés debaixo da mesa,0
1007,contagem regressiva,preparativos finais para algo prestes a acontecer,none, estar em contagem decrescente,0
1008,conta redonda,patt:,none,none,0
1009,contar com o ovo no cu da galinha,&bullet; contar com incerto,none, contar com sapatos de ruim defunto,0
1010,contar com sapatos de ruim defunto,&bullet; contar com incerto,none, contar com o ovo no cu da galinha,0
1011,contar pelos dedos,,none,none,0
1012,contar ponto por ponto,contar detalhada e minuciosamente,none,none,0
1013,contas à moda do Porto,contas exactas,none,none,0
1014,conte comigo,,none,none,0
1015,Contigo... era até achar petróleo!,é um:,none,none,0
1016,continuar tudo no mesmo pé,"impasse, não houve alterações",none,none,0
1017,conto do vigário,"engano, logro, plano engenhoso para enganar alguém",none, vigarice; intrujice; esquema,0
1018,contos de fadas,,none,none,0
1019,contou-me um passarinho,"constou-me que, disseram-me que, fui informado que",none, ressoar aos ouvidos; um passarinho disse-me,0
1020,contra a corrente,"atitude, posição, opinião que é oposta à geral",none, contra ventos e marés; contra tudo e todos,0
1021,contra tudo e todos,"atitude, posição, opinião que é oposta à geral",none, contra ventos e marés; contra a corrente,0
1022,contra vapor,,none,none,0
1023,contra ventos e marés,"atitude, posição, opinião que é oposta à geral",none, contra tudo e todos; contra a corrente,0
1024,contribuir,é um:,none,none,0
1025,convém é acordar vivo. Acordas morto estás fodido,expressão depressiva pseudo-optimista que no fundo não diz nada, calão, pelo menos não está a chover; podia ser pior; como estás? nunca pior; para pior não pode ir,2
1026,conversa de chacha,"sem fundamento, conversa fútil, sem interesse, de veracidade duvidosa, às vezes com segundas
          intenções",none," conversa fiada; tretas; paleio; paleio vigarista; paleio de vendedor de escovas; balelas;
          baboseira; chuchadeira; parlapiê; patacoadas; mentira esfarrapada",0
1027,conversa fiada,"sem fundamento, conversa fútil, sem interesse, de veracidade duvidosa, às vezes com segundas
          intenções",none," conversa de chacha; tretas; paleio; paleio vigarista; paleio de vendedor de escovas; balelas;
          baboseira; chuchadeira; parlapiê; patacoadas; mentira esfarrapada",0
1028,conversa mole,,none,none,0
1029,conversão,é um:,none,none,0
1030,conversa para boi dormir,,none,none,0
1031,coordenada,é um:,none,none,0
1032,cópios,"festa, normalmente envolvendo beber uns copos",none," borga; paródia; pândega; trolaró; pagode; tainada; patuscada; comezaina; festarola; andar na
          boa-vai-ela; naite",0
1033,copular,ter relações sexuais,none,,0
1034,coração ao largo,,none,none,0
1035,coração de pedra,,none,none,0
1036,coração rasgado,,none,none,0
1037,cor berrante,,none,none,0
1038,cor de burro quando foge,,none,none,0
1039,corista,"Artista secundário ou figurante em espectáculo musical que dança com uso gestualidade excessiva e
          lasciva",none, artista de rebolado; dançarina; Mirita,0
1040,corno de vaca,marido cuja mulher o traiu com outra mulher (ver corno) ,none,none,0
1041,cornos,hastes dos animais,none, chifres,0
1042,corpo a corpo,,none,none,0
1043,corpo moído,,none,none,0
1044,corpo sem alma,,none,none,0
1045,correr a bom correr,"velozmente, com muita pressa",none, correr a sete pés; correr como uma lebre,0
1046,correr à conquista,,none,none,0
1047,correr a cortina,,none,none,0
1048,correr à pedrada,afugentar,none, correr a tiro; escorraçar,0
1049,correr as capelinhas,,none,none,0
1050,correr às mil maravilhas,"correr bem, magnificamente",none, correr tudo sobre rodas,0
1051,correr as sete partidas do mundo,viajar ou percorrer,none,none,0
1052,correr a tiro,afugentar,none, correr à pedrada; escorraçar,0
1053,correr a via sacra,percurso ou actividade penosa,none,none,0
1054,correr Ceca e Meca,"procurar em todo o lado, viajar muito",none, correr Ceca e Meca e olivais de Santarém; já corri tudo,0
1055,correr Ceca e Meca e olivais de Santarém,"procurar em todo o lado, viajar muito",none, correr Ceca e Meca; já corri tudo,0
1056,correr como uma lebre,"velozmente, com muita pressa",none, correr a sete pés; correr a bom correr,0
1057,correr a sete pés,"velozmente, com muita pressa",none, correr a bom correr; correr como uma lebre,0
1058,correr mal,,none, dar para o torto,0
1059,correr muita tinta,ser muito falado e discutido,none,none,0
1060,correr de boca em boca,patt:,none,none,0
1061,correr montes e vales,"percorrer grandes distâncias, afadigar-se",none,none,0
1062,correr riscos,"arriscar, fazer algo perigoso",none,none,0
1063,correr tudo sobre rodas,"correr bem, magnificamente",none, correr às mil maravilhas,0
1064,corrida de sacos,patt:,none,none,0
1065,Corta a tua mãe às postas e faz arroz de puta,insulto a árbitro do mais violento e arrasador que se consegue, calão muito carroceiro," Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Tens mais cornos que um prato de
          caracóis meu grande filho da puta !; Filho de um saco de putas",4
1066,cortar a alma,,none,none,0
1067,cortar a direito,com decisão e honestidade,none,none,0
1068,cortar a palavra,,none,none,0
1069,cortar as asas a,não deixar fazer nada,none, cortar as pernas,0
1070,cortar as pernas,não deixar fazer nada,none, cortar as asas a,0
1071,cortar as unhas rentes,,none,none,0
1072,cortar na casaca,"censurar, denegrir, dizer mal de",none, estar a desfazer em; se mordes a língua morres envenenada,0
1073,cortar na pele,,none,none,0
1074,cortar o coração,,none,none,0
1075,cortar o mal pela raiz,,none,none,0
1076,cortar o pio,,none,none,0
1077,cortar os braços,,none,none,0
1078,cortar terreno,,none,none,0
1079,cortar um dobrado,passar por grandes dificuldades e provações,none, comer o pão que o Diabo amassou,0
1080,cortejar,"fazer a corte, namorar", arcaico, arrastar a asa; damar; galantear; fazer pé de alferes; flirtar,0
1081,cortina de ferro,fronteira separadora entre países comunistas e ocidentais nos anos 1950,none,none,0
1082,cortina de fumo,patt:,none,none,0
1083,coruja,é um:,none,none,0
1084,corvo-marinho,é um:,none, galheta,0
1085,coscuvilheiro,diz-se de uma pessoa demasiado curiosa e que adora meter-se na vida dos outros,none, anzoneira; cabaneiro; cusca; metediço; bisbilhoteiro; fofoqueiro; mexiriqueiro; bilhardeiro,0
1086,cota,idoso,none, pessoa de idade; velhadas,0
1087,covidiota,é um:,none,none,0
1088,covil,sítio onde me escondo,none, coio; esconderijo,0
1089,coxear,estar a observar disfarçadamente e a adivinhar as intenções de terceiros,none, mancar; cocar,0
1090,cozer a bebedeira,"estado deplorável que se segue a uma bebedeira caracterizado por dores de cabeça, achar que há
          excesso de luz e que todos falam demasiado alto",none, curar a bebedeira; ressacar; estar com a ressaca; estar com a rebarba; marsugado,0
1091,cozido com as paredes,"em segredo, de modo escondido",none, na calada da noite; pela calada,0
1092,"credo, cruzes, canhoto!",interjeição de desagrado e esconjuro,none," abrenúncio!; o Diabo seja surdo, cego e mudo; vade retro Satanás; lagarto! lagarto! lagarto!",0
1093,cremalheria,dentadura,none,none,0
1094,crer a olhos fechados,,none,none,0
1095,cresce e aparece,,none,none,0
1096,crescer a olhos vistos,,none,none,0
1097,cresta,comm:,none,none,0
1098,cretino,é um:,none," imbecil; idiota; burro; badameco; besta; camelo; calhau; cavalgadura; abécula; alimária; asno;
          estúpido; borrego; abantesma; estafermo; energúmeno; sendeiro; néscio",0
1099,criar asas,,none,none,0
1100,criar barriga,engordar,none,none,0
1101,criar calo,,none,none,0
1102,criar embalagem,,none,none,0
1103,criar fama e deitar-se a dormir,,none,none,0
1104,criar raízes,,none,none,0
1105,criar uma alma nova,,none,none,0
1106,crica,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          aranha; fanesga; boca do corpo; xana; snaita",4
1107,crime de faca e alguidar,"crime passional, envolvendo violência doméstica",none,none,0
1108,crivado de balas,patt:,none,none,0
1109,crivado de dívidas,muito endividado,none,none,0
1110,crocodilar,enganar alguém, coloquial, vigarizar; passar a perna a alguém; levar à certa; endrominar; intrujar,1
1111,cromo,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; postal; autocolante; adesivo; besunta,1
1112,cruzar os braços,,none,none,0
1113,cruzeta,"namorada, rapariga",none, garina; chavala; guria; garota; gaja; pailha; mina; miúda; rapariga,0
1114,cu,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão, bunda; alcofa; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate,2
1115,cuarra,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",2
1116,cuca,cabeça,none, mona; cachimónia; tola; bestunto; bestunteira; cornos; melão; caixa dos pirolitos,0
1117,cu de sono,"pessoa que, mesmo a pé, está sempre a dormir",none, dorminhoco; sonolento; zombi,0
1118,cueca fio dental,,none,none,0
1119,cumprir com as obrigações,,none,none,0
1120,cumprir o seu papel,,none,none,0
1121,cunho pessoal,&bullet; de modo personalizado,none, toque pessoal,0
1122,cunices,&bullet; factos ou coisas de pouco ou nenhum valor, calão carroceiro," merdices; coneirices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada",3
1123,cunilingus,"acto sexual oro-genital, lamber a vagina", calão muito carroceiro, trombada; minete; lamber-te; passar a casa a pano; felácio; broche feminino,4
1124,curar a bebedeira,"estado deplorável que se segue a uma bebedeira caracterizado por dores de cabeça, achar que há
          excesso de luz e que todos falam demasiado alto",none, cozer a bebedeira; ressacar; estar com a ressaca; estar com a rebarba; marsugado,0
1125,curtir,,none, gozar à brava,0
1126,curvar a fronte,,none,none,0
1127,cusca,diz-se de uma pessoa demasiado curiosa e que adora meter-se na vida dos outros,none," anzoneira; cabaneiro; coscuvilheiro; metediço; bisbilhoteiro; fofoqueiro; mexiriqueiro; bilhardeiro
        ",0
1128,cuscar,"actividade de se meter na vida dos outros, espiar, comentar, armar intrigas",none," bisbilhotar; cheiretar; fazer fofocas; alcoviteiro; intriguista; rasgar seda; tagarelar; dar ao
          badalo; bilhardar",0
1129,cusinho lavadinho com águas de rosas,exclamação de não permissão, calão carroceiro, querias!; querias! batatinhas com enguias!,3
1130,cuspir para o ar,,none,none,0
1131,custar cara a brincadeira,,none,none,0
1132,custar couro e cabelo,ser muito caro,none, custar os olhos da cara; custar um balúrdio,0
1133,custar os olhos da cara,ser muito caro,none, custar couro e cabelo; custar um balúrdio,0
1134,custar um balúrdio,ser muito caro,none, custar couro e cabelo; custar os olhos da cara,0
1135,custe o que custar,diz-se de algo difícil que impreterivelmente tem que ser realizado,none, à viva força; a ferro e fogo; doa a quem doer; a qualquer preço,0
1136,cutucar onça com vara curta,brincar com situação perigosa,none, brincar com o fogo,0
1137,da boca para fora,de ânimo leve,none,none,0
1138,dado e arregaçado só o caralho,é um:, calão carroceiro,none,3
1139,dali a nada,,none,none,0
1140,da loja dos 300,produto barato e de muito pouca qualidade, arcaico ( anos 80 ), loja chineses,0
1141,dama da noite,patt:,none,none,0
1142,dama de honor,patt:,none,none,0
1143,damar,"fazer a corte, namorar", coloquial, arrastar a asa; galantear; cortejar; fazer pé de alferes; flirtar,1
1144,da melhor água,,none,none,0
1145,da melhor vontade,,none,none,0
1146,da minha banda,&bullet; em minha opinião,none, pela parte que me toca; a meu ver,0
1147,danado,&bullet; alguém perverso e vingativo,none, tramado,0
1148,dançar conforme a música,,none,none,0
1149,dançarina,é um:,none, artista de rebolado; corista; Mirita,0
1150,dançar na corda bamba,actividade ou situação de risco elevado e evidente,none,none,0
1151,dançar pau com os ursos,,none,none,0
1152,da noite para o dia,&bullet; sem necessidade de preparação,none, do pé para a mão; assim de repente; do dia para a noite; dum dia para o outro,0
1153,danos colaterais,"vítimas inocentes, não intencionais mas normalmente graves",none,none,0
1154,da pesada,,none,none,0
1155,da pior espécie,,none,none,0
1156,da ponta dos pés à raiz dos cabelos,,none,none,0
1157,daqui a nada,,none,none,0
1158,"daqui lá, é um tiro",,none,none,0
1159,daqui não levas nada,,none,none,0
1160,daqui não passo,indicação (frequentemente exagerada) de que se está a morrer,none, chegar ao pessegueiro; sentei-me; estar entre a cruz e a caldeirinha; estar de pés para a cova,0
1161,dar a alma a Deus,,none, dar a alma ao Criador; dar a alma ao Diabo,0
1162,dar a alma ao Criador,,none, dar a alma a Deus; dar a alma ao Diabo,0
1163,dar a alma ao Diabo,,none, dar a alma a Deus; dar a alma ao Criador,0
1164,da raça do Diabo,,none,none,0
1165,dar à canela,,none,none,0
1166,dar a cara,apoiar publicamente uma causa,none,none,0
1167,dar a César o que é de César,,none,none,0
1168,dar aço,andar a toda a velocidade (normalmente referente a carros) ,none, gás à tábua!; meter o prego a fundo,0
1169,dar acordo,,none,none,0
1170,dar à cremalheira,"comer, mastigar", calão, dar ao dente,2
1171,dar a entender,,none,none,0
1172,dar água pela barba,tarefa ou situação que deu muito trabalho e complicações,none,none,0
1173,dar alfinetadas,,none,none,0
1174,dar à língua,,none,none,0
1175,dar alta,patt:,none,none,0
1176,dar a lume,,none,none,0
1177,dar à luz,,none,none,0
1178,dar andamento,,none,none,0
1179,dar a nota,,none,none,0
1180,dar ao badalo,"actividade de se meter na vida dos outros, espiar, comentar, armar intrigas",none," cuscar; bisbilhotar; cheiretar; fazer fofocas; alcoviteiro; intriguista; rasgar seda; tagarelar;
          bilhardar",0
1181,dar ao demo a cardada,esta arrependido,none,none,0
1182,dar ao dente,comer,none, morfar; moufar,0
1183,dar ao pé,andar depressa,none, dar aos calcanhares; dar à perna; dar às canetas,0
1184,dar aos calcanhares,andar depressa,none, dar ao pé; dar à perna; dar às canetas,0
1185,dar a palavra,,none,none,0
1186,dar um bigode,&bullet; vencer com grande vantagem,none,none,0
1187,dar à perna,andar depressa,none, dar ao pé; dar aos calcanhares; dar às canetas,0
1188,dar ares,,none,none,0
1189,dar ares de Vila Diogo,"fugir, afastar-se (de alguém ou de situação problemáticas) ",none," dar à sola; dar de frosques; dar de trancas; cavar; pirar-se; fugir; vazar; pôr-se no piro; pôr-se
          na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a bulir; pôr-se a milhas;
          pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito; picar a mula;
          escafeder-se; acunhar; pisar fundo",0
1190,dar a rodos,"em grandes quantidades, exageradamente",none, dar às mãos cheias; esbanjar,0
1191,dar asas à imaginação,,none,none,0
1192,dar às canetas,andar depressa,none, dar ao pé; dar aos calcanhares; dar à perna,0
1193,dar as cartas,,none,none,0
1194,dar as despedidas,,none,none,0
1195,dar às mãos cheias,"em grandes quantidades, exageradamente",none, dar a rodos; esbanjar,0
1196,dar asneira,"falhar, ser um fiasco",none, dar raia; dar fiasco; dar zebra,0
1197,dar à sola,"fugir, afastar-se (de alguém ou de situação problemáticas) ",none," dar ares de Vila Diogo; dar de frosques; dar de trancas; cavar; pirar-se; fugir; vazar; pôr-se no
          piro; pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a bulir;
          pôr-se a milhas; pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito; picar a
          mula; escafeder-se; acunhar; pisar fundo",0
1198,dar a sua palavra,,none,none,0
1199,dar as últimas,,none,none,0
1200,dar a tacada,"fazer críticas humorísticas, cínicas ou caústicas a uma situação ou a alguém",none, mandar bocas,0
1201,dar à taramela,,none,none,0
1202,dar até à última pinga de sangue,,none,none,0
1203,dar a volta por cima,ultrapassar um momento difícil,none,none,0
1204,dar azo,,none,none,0
1205,dar barraca,&bullet; asneira de que toda a gente se apercebe,none,none,0
1206,dar boa conta do recado,"terminar, resolver bem as tarefas confiadas",none, e está a andar a mota!,0
1207,dar bronca,,none,none,0
1208,dar cabo da cabeça,"&bullet; ralhar, protestar",none," levar na tarraqueta; xingar-lhe a cabeça; dar cabo do juízo; azucrinar o juízo; levar na cabeça
        ",0
1209,dar cabo de,"destruir, estragar tudo",none, esfodaçar,0
1210,dar cabo do canastro,é um:,none,,0
1211,dar cabo do juízo,"&bullet; ralhar, protestar",none," levar na tarraqueta; xingar-lhe a cabeça; dar cabo da cabeça; azucrinar o juízo; levar na cabeça
        ",0
1212,dar cabo dos nervos,enervar,none,none,0
1213,dar carta branca,"concordar, aprovar, dar autorização",none, dar luz verde; plenos poderes,0
1214,dar cartas,demonstrar grande mestria em certa actividade ou assunto,none,none,0
1215,dar com a cabeça nas paredes,"estar desesperado, tresloucado",none,none,0
1216,dar com a coisa,desvendar o mistério,none,none,0
1217,dar com as ventas na porta,"deparar-se com algo fechado, sem possibilidade de entrar",none, dar com o nariz na porta,0
1218,dar com o nariz na porta,"deparar-se com algo fechado, sem possibilidade de entrar",none, dar com as ventas na porta,0
1219,dar com o nariz no sedeiro,"fracassar, errar desastrosamente",none, dar com os burros na água,0
1220,dar com os burros na água,"fracassar, errar desastrosamente",none, dar com o nariz no sedeiro,0
1221,dar com os costados,,none,none,0
1222,dar conta,,none,none,0
1223,dar conta de si,,none,none,0
1224,dar contas a Deus,morrer,none,none,0
1225,dar corda,,none,none,0
1226,dar corda aos sapatos,andar mais depressa,none,none,0
1227,dar corda aos vitorinos,vou-me embora,none, vou dar corda aos atacadores; vou-me pôr a andar,0
1228,dar corda para se enforcar,,none,none,0
1229,curuca,&bullet; dar gratificações ou subornos,none, untar as mãos; dar luvas; untar as unhas de; molhar a mão; dar gasosa,0
1230,dar o badagaio,&bullet; desmaiou ou ficou doente de repente,none," dar o berro; dar-lhe um chilique; dar-lhe a macacoa; dar-lhe um xilique; dar-lhe o beri-béri;
          dar-lhe o fanico; dar-lhe a filoxera; dar-lhe o trangulomango; treco-lareco; piripaque; estar a dar
          as últimas",0
1231,dar de bandeja,"entregar ou receber sem pedir nada em troca, sem discussão, sem reclamar",none, servir numa bandeja; receber de mão beijada,0
