,term,description,level,synonym,scale
1,abafa-palhinha,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; gay; bamby; xibungo",3
4,abananado,"admirado, aturdido e sem palavras", coloquial, estupefacto; azuratado; aturdido; embasbacado; basbaque,1
11,à beça,em grande quantidade, coloquial,,1
13,abichanado,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",2
20,abono de família,"órgão sexual masculino, pénis, pênis", coloquial,,1
35,abusar da maçaneta,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; cavalgar a jibóia; levar na anilha; tirar leito do pau; queimar rosca
        ",3
61,adesivo,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; cromo; postal; autocolante; besunta,1
64,,, calão,,2
65,,, calão,,2
73,afanar,"furtar, roubar", coloquial," bifar; pifar; gamar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a",1
77,,ter relações sexuais, calão," fazer amor; pinar; quilhar; foder; pilar; copular; dar uma ponteirada; dar-lhe aço; estar no
          refustedo; fornicar; transar; afinfar-lhe; afogar o ganso; pinocar; gibra; mandar o Bernardo às
          compras",2
80,afinfar-lhe,ter relações sexuais, calão,,2
82,afogar o ganso,ter relações sexuais, calão,,2
125,amigos do alheio,pessoa que rouba, coloquial," ladrão; gatuno; ratoneiro; larápio; assaltante; salteador; flibusteiro; fajardo; carteirista;
          cafunge",1
137,andar a coçar os colhões,não fazer nada de útil, calão, não fazer a ponta de um corno,2
149,andar à porra e à maça,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho; porrada
          velha",1
151,andar às turras,&bullet; lutar, coloquial, andar à turra e à massa,1
152,andar à turra e à massa,&bullet; lutar, coloquial, andar às turras,1
162,andar a coçar o cu pelas esquinas,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem", calão," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a polir
          esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na boa vai ela;
          andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",2
170,andar à porrada,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porra e à
          maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha",1
175,andar à mama,level:, calão,none,2
188,andar no engate,&bullet; cavalheiros que tentam seduzir namoradas, coloquial, engatar; garanhar; galar,1
190,andar no laréu,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem", coloquial," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar a coçar o cu pelas
          esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a
          preguiçar; ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua
        ",1
196,andar nas putas e vinho verde,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem", calão carroceiro," andar a fazer cera; andar à boa-vida; andar no laréu; andar a coçar o cu pelas esquinas; andar a
          polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na boa
          vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",3
197,andar no carrossel dos caralhos,é um:, calão carroceiro, coirão,3
211,anhar,ex.:, calão,none,2
225,Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada,insulto a árbitro do mais violento e arrasador que se consegue, calão muito carroceiro," Tens mais cornos que um prato de caracóis meu grande filho da puta !; Corta a tua mãe às postas e
          faz arroz de puta; Filho de um saco de putas",4
240,puta,"ficar bêbado, beber de mais", calão carroceiro," bebedeira; carraspana; ramada; piela; narsa; encher a cara; entornar o barril; entornar o caneco;
          ir a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na asa;
          estar com dois dedos de gramática; tomar um porre; encharcado",3
258,aranha,é um:, calão carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; fanesga; boca do corpo; xana; snaita",3
259,araújo,corpo estranho num olho, coloquial, orgueiro,1
260,arbusto,pêlos púbicos, calão, pintelho; pentelho,2
262,ardiúmes na pachacha,calores vaginais, calão carroceiro, febres da pita; lumes de cona,3
267,argasmo,"sensação de prazer semelhante ao orgasmo experimentada por quem retira uma máscara covideira
          ganhando acesso ao ar", calão,none,2
270,armante,"diz-se de alguém muito convencido, arrogante e que se gaba mesmo do que não faz", coloquial, gabarolas; granadas; ser um convencido; fanfarrão,1
282,arraial de porrada,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à porra e à maça; andar à lapada; arraial de pancadaria; roleta; pancada de criar bicho;
          porrada velha",1
286,arrastar a asa,"fazer a corte, namorar", coloquial, damar; galantear; cortejar; fazer pé de alferes; flirtar,1
288,arre çamona,interjeição de espanto e de quantidade, coloquial, caraças; chiça; chiça penico,1
293,arre porra!,interjeição de desagrado ou de espanto, calão, foda-se!; caralho!; carago!; caraças; caramba; porra; poça!; droga!; chiça; puta que pariu!,2
297,arriar o calhau,fazer necessidades fisiológicas sólidas, coloquial," cagar; defecar; fazer as suas necessidades; mandar um telegrama; ir enviar um fax; fazer cocó;
          largar o barro",1
300,arrombado,&bullet; homossexual masculino passivo, calão carroceiro," paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
302,arrota puta que comeste grelos!,não te gabes, calão carroceiro,none,3
303,arrotar,level:, coloquial,none,1
305,arroto,level:, coloquial,none,1
324,asqueroso,"aquele ou aquilo que exala mau cheiro ou causa náusea (por razões físicas, psicológicas ou
          comportamentais) ,", calão," fedorento; abjecto; malcheiroso; fétido; nauseabundo; nojento; putrefacto; podre; piolhoso;
          piolhento; tinhoso; andrajoso",2
326,assentar as costuras,"&bullet; punir, sovar, castigar", coloquial,,1
332,asterisco,é um:, calão,none,2
333,atamancado,"&bullet; atividade mal feita, feita à pressa, sem planeamento, sem arte", coloquial," tirar do cu com um gancho; feito em cima dos joelhos; feito às três pancadas; meia bola e força;
          pontapé para a frente e fé em Deus; de qualquer maneira; improvisar",1
353,autocolante,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; cromo; postal; adesivo; besunta,1
357,avarento,&bullet; pessoa muito agarrada ao dinheiro, coloquial," unhas de fome; sovina; forreta; futre; somítico; pelintra; agarrado; pão duro; pirangueiro; mão de
          vaca; murrinha",1
367,azar é cair de costas e partir o caralho!,&bullet; resposta perante alguém que se queixa continuamente, calão carroceiro,none,3
369,azeite,é um:, calão, chulo; azeiteiro; proxeneta; macaronho,2
370,azeiteiro,é um:, calão, parolo; chunga; chulo; pimba; mitra,2
373,azuratado,"admirado, aturdido e sem palavras", coloquial, abananado; estupefacto; aturdido; embasbacado; basbaque,1
379,bacana,"bom, agradável", coloquial, fixe; bestial; porreiro; porreiraço,1
380,bacano,"usa-se como um modo, ligeiramente irreverente, de referir uma pessoa", coloquial, gajo; tipo; meco; caramelo; indivíduo; fulano; fabiano; mano; melro,1
384,badalo,"órgão sexual masculino, pénis, pênis", coloquial,,1
389,bago,dinheiro, coloquial," carcanhois; taco; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil metal;
          grana; pastel; pasta; dinheiro; guito; guita; tutu; verdinha",1
394,baitola,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
395,bai no Batalha,"mentira, partida, brincadeira", coloquial, grupo; treta; peta; patranha; reinação,1
399,balda,situação em que reina o desinteresse e a irresponsabilidade, calão, bandalheira,2
401,balúrdio,&bullet; quantia muito elevada, calão, fortuna; quantia obscena; pipa de massa,2
402,bamby,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; abafa-palhinha; gay; xibungo",3
403,banana,"órgão sexual masculino, pénis, pênis", calão,,2
404,bandalheira,situação em que reina o desinteresse e a irresponsabilidade, coloquial, balda,1
405,bandalho,é um:, coloquial," canalha; calhordas; pulha; patife; escroque; sacana; sacripanta; sacrista; biltre; velhaco; futre
        ",1
417,barbie,"usa-se para descrever mulheres muito bonitas, vaidosas, pouco inteligentes e que normalmente só
          pensam em sexo", coloquial, loira; menina rocha,1
418,barbuda,"situação agitada com abrandamento de costumes, envolvendo comportamentos que não são adequados ao
          local", calão, confusão; promiscuidade,2
422,barregã,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",2
425,basalto,é um:, coloquial,,1
427,basculho,"ferramenta usada no ciclo do linho que consistia numa espécie de almofada presa à extremidade de um
          pau usado para guiar a água para o rego pretendido", coloquial, camafeu; cavalona; fubanga; ser uma baranga; ser um bacalhau,1
432,batata,é um:, coloquial, penca; nariganga,1
442,bater mal da tola,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; ter
          a rosca moída; não bater bem da bola; não ser bom da cabeça",1
446,bater pratos,acto homossexual feminino que consiste em roçar as vaginas, calão estupidamente carroceiro, briga de aranhas,5
447,bater uma pívia,masturbação masculina, calão estupidamente carroceiro," segóvia; tocar à punheta; esgoviar; espancar o marreco; jogar bilhar de bolso; esgalhar o ganso;
          esgalhar o pessegueiro",5
452,bazófias,"gabar-se de talentos, capacidades e coisas diversas com grande exagero (e por vezes com pouca
          verdade) ", calão, gabarolices,2
460,begueiro,pessoa que passa a vida em festas e tainadas, coloquial, boémios; borguista,1
463,beita,"sémen, esperma", calão, esporra; langonho; nanha; porra; meita,2
473,berdamerda,"excrementos, fezes consistentes e enformadas", calão carroceiro, merda; cagalhão; caca; fezes; caganita; poio; cirolho; bunicos; trampa; bosta,3
476,bertoldo,é um:, coloquial," burgesso; ordinário; alarve; boçal; analfabruto; analfabesta; grosseiro; brutamontes; achavascado;
          rude; matarruano; ser um casca-grossa",1
484,besunta,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", calão, chato; aborrecido; incomodativo; melga; gosma; fega; cromo; postal; autocolante; adesivo,2
485,beta,é um:, coloquial, tia de Cascais,1
490,bicha,fila, calão,,2
491,bicha de angola,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; galdéria; rameira",2
494,bifar,"furtar, roubar", coloquial," pifar; gamar; afanar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a",1
509,bisga,"rapidez, com elevada velocidade", coloquial, bolina; esgalha; gazonete; gáspea; na mecha; estilha; ir nas horas do caralho,1
515,bitola,"órgão sexual masculino, pénis, pênis", calão carroceiro,,3
518,boa como o milho,&bullet; miúda muito bonita, calão, de fazer parar o trânsito; ser uma brasa; de encher as medidas; encher as medidas,2
521,boazona,mulher ou rapariga muito jeitosa, calão, toura; tuxa; mulher boa; bomba; és toda grossa; pitéu; conaça; fema; borracho,2
525,boceta,órgão sexual feminino, calão carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",3
529,boémios,pessoa que passa a vida em festas e tainadas, coloquial, begueiro; borguista,1
532,bófia,"referências a um agente da polícia, ou à polícia em geral", coloquial, chui; judite; polícia; ramona; moina,1
535,bolina,"rapidez, com elevada velocidade", coloquial, esgalha; gazonete; gáspea; na mecha; bisga; estilha; ir nas horas do caralho,1
536,bomba,mulher ou rapariga muito jeitosa, coloquial, toura; tuxa; mulher boa; boazona; és toda grossa; pitéu; conaça; fema; borracho,1
537,bombarda,saída de gazes intestinais, calão, peido; flatulência; traque; bufa; farpa; pum,2
538,boneca de capelista,é um:, coloquial,none,1
539,"bonito, bonito eram os colhões a bater no pito!",resposta brejeira (calão rude) a quando alguém diz que algo é bonito, calão carroceiro,none,3
545,borguista,pessoa que passa a vida em festas e tainadas, coloquial, begueiro; boémios,1
552,bosta,"excrementos, fezes consistentes e enformadas", coloquial, berdamerda; merda; cagalhão; caca; fezes; caganita; poio; cirolho; bunicos; trampa,1
554,botão de rosa,sexo oro-anal, calão muito carroceiro, anilíngua,4
564,bregalho,"órgão sexual masculino, pénis, pênis", calão,,2
565,briga de aranhas,acto homossexual feminino que consiste em roçar as vaginas, calão muito carroceiro, bater pratos,4
570,briol,muito frio, coloquial, griso; está um frio de rachar; está cá um barbeiro,1
571,broca,cigarro feito à mão (mistura de tabaco e haxixe|erva) , calão, ganza; porro; charro,2
573,brochista,&bullet; aquel (e|a) que chupa pénis, calão carroceiro, falófago,3
574,broeiro,é um:, coloquial, parolo; saloio; tosco; rude; toino; montanheiro,1
582,bufar-se,saída de gazes intestinais, calão, largar bombarda; peidar-se; traquejar,2
586,bujeca,"cerveja, néctar precioso, imprescindível na vida dos portugueses", coloquial, cerveja; birra; jola; loira; buja; surbia,1
603,cabelinho à foda-se,, calão,none,2
608,cabra,é um:, calão, cabrão; cabrãozão,2
610,cabrão,é um:, calão carroceiro, cabra; cabrãozão,3
611,cabrãozão,é um:, calão, cabra; cabrão,2
613,caca,"excrementos, fezes consistentes e enformadas", calão, berdamerda; merda; cagalhão; fezes; caganita; poio; cirolho; bunicos; trampa; bosta,2
614,cacafelho,"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe", coloquial, ganapo; pirralho; pivete; catraio; puto; miúdo; garoto; guri,1
615,caçar barulho,armar uma grande confusão, coloquial, armar uma lã de cão; armar um 31; procurar confusão,1
617,cacete,tipo de pão comprido, calão, bagete,2
632,cagadeira,casa de banho, calão carroceiro, latrina; retrete; secreta; banheiro; wc; toilette; sanitários; trono; casinha,3
634,cagalhão,"excrementos, fezes consistentes e enformadas", calão carroceiro, berdamerda; merda; caca; fezes; caganita; poio; cirolho; bunicos; trampa; bosta,3
635,caga-lume,insecto pirilampo, calão, pirilampo; vaga-lume,2
636,caganifância,&bullet; factos ou coisas de pouco ou nenhum valor, calão," cunices; merdices; coneirices; coisas de nada; mariquices; insignificâncias; miudências;
          preocupação injustificada",2
638,cagão,é um:, calão carroceiro, medricas; cagarolas; cobarde; cobardolas; coneiro; roto; pancona; tanso; lerdo,3
639,cagar,fazer necessidades fisiológicas sólidas, calão," defecar; fazer as suas necessidades; arriar o calhau; mandar um telegrama; ir enviar um fax; fazer
          cocó; largar o barro",2
640,cagarolas,é um:, calão, cagão; medricas; cobarde; cobardolas; coneiro; roto; pancona; tanso; lerdo,2
641,cagar orgasmo,ter um enorme orgasmo, calão muito carroceiro,none,4
642,cagar para dentro,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cavalgar a jibóia; abusar da maçaneta; levar na anilha; tirar leito do pau; queimar rosca
        ",3
643,cagar sentenças,"ser muito opinativo, sem que se lhe reconheça capacidade ou autoridade para tal", calão, dar sentenças; arrotar postas de pescada,2
644,caga-tacos,pessoa pequena, calão, rodas-baixas; minorca; roda 24; taco de pia,2
645,cagueiro,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão carroceiro, bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; zuate,3
650,cair de cu,ficar completamente surpreendido ou pasmado, coloquial, cair de cangalhas,1
673,calar a caixa,cala-te, coloquial, cala o bico; fecha-me essa cloaca,1
683,calhordas,é um:, coloquial," canalha; bandalho; pulha; patife; escroque; sacana; sacripanta; sacrista; biltre; velhaco; futre
        ",1
697,camisa de Vénus,, calão carroceiro, camisinha; preservativo,3
698,camisinha,, calão carroceiro, camisa de Vénus; preservativo,3
703,canastrão,"diz-se de alguém grande, deselegante e desajeitado", coloquial,none,1
706,cangosta,espaço entre as bochechas do cu ou das mamas, calão, rego; vale,2
714,canzana,"Sexo vaginal por trás; ""Quando
          se está com uma gaja, e se quer mandar uma por trás, a malta diz: -
          Vai uma à kanzana, filha? = Foda na cona por trás""", calão carroceiro,none,3
722,caraças,interjeição de desagrado ou de espanto, coloquial," foda-se!; caralho!; carago!; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!
        ",1
727,cara de cu à paisana,é um:, calão,none,2
729,"cara de um, cu do outro",indica total ausência de parecenças entre duas pessoas, calão,none,2
730,carago!,interjeição de desagrado ou de espanto, calão," foda-se!; caralho!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!
        ",2
731,caralhadas,"&bullet; palavrões, conjunto geral das expressões calão carroceiro", calão,none,2
733,caralho,"órgão sexual masculino, pénis, pênis", calão carroceiro,,3
734,caralho!,interjeição de desagrado ou de espanto, calão carroceiro, foda-se!; carago!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!,3
735,caralhómetro,é um:, calão,none,2
744,carocho,indivíduo chato que se não dás uma moedinha acima de 1 euro te risca o carro, calão, estacionador; arrumador,2
747,carrabagem,monte de miúdos a fazer barulho, coloquial,none,1
773,catatua,insulto normalmente usado para automobilistas que encandeam os outros com os faróis nos máximos, coloquial,none,1
778,cavalgar a jibóia,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; abusar da maçaneta; levar na anilha; tirar leito do pau; queimar rosca
        ",3
779,cavalo,é um:, coloquial, égua; cavalgadura,1
780,cavalo de pau,"mulher alta, magra e ossuda, sem formas", calão,none,2
784,cenaita,"coisa, situação, estado de coisas", calão,none,2
788,chá de marmeleiro,apanhar umas pauladas, coloquial, xarope de bengala,1
801,charro,, coloquial, cavalo; heroína; xarro,1
803,chatear,, coloquial, aborrecer; incomodar; melgar,1
806,chato,é um:, coloquial, morcão,1
807,chavala,"namorada, rapariga", coloquial, garina; guria; garota; cruzeta; gaja; pailha; mina; miúda; rapariga,1
830,chiça,interjeição de desagrado ou de espanto, calão," foda-se!; caralho!; carago!; caraças; caramba; porra; poça!; droga!; arre porra!; puta que pariu!
        ",2
831,chiça penico,interjeição de espanto e de quantidade, calão, caraças; chiça; arre çamona,2
832,chico,militar que se quer evidenciar, coloquial, militarista,1
842,choça,cadeia, coloquial, pildra; xilindró; prisão; prisa; calabouço; masmorras; cárcere; xadrez,1
858,chuço,guarda-chuva, coloquial,none,1
859,chui,"referências a um agente da polícia, ou à polícia em geral", coloquial, bófia; judite; polícia; ramona; moina,1
860,chular,"aproveitar-se de, ser parasita de", calão carroceiro,none,3
861,chulé,mau cheiro dos pés, coloquial, sulfato de peúga; arma de desdruição massiva,1
862,chulo,é um:, calão carroceiro, azeiteiro; parolo; chunga; pimba; mitra,3
867,chupa-me a pichota,&bullet; sexo oral masculino, calão estupidamente carroceiro, fazer um broche; fazer um bobó; mamada; fazer um bico; falofagia; felácio,5
868,chupa-mos!,é um:, calão muito carroceiro," ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!; ir
          para a puta que o pariu!",4
870,chupista,alguém que se aproveita dos outros, coloquial, chulo; parasita; aproveitador; sevandija,1
874,ciar,ter ciúmes de alguém, calão,none,2
877,cimento desarmado,cimento ou betão mal feito com ausência de ferro, calão,none,2
882,cirolho,"excrementos, fezes consistentes e enformadas", calão carroceiro, berdamerda; merda; cagalhão; caca; fezes; caganita; poio; bunicos; trampa; bosta,3
892,coca-bichinhos,alguém muito implicativo e que olhe demasiado aos detalhes, coloquial, não ser um picuinhas; caquenha,1
899,coirão,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; mulher de mau porte;
          mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",2
913,colegas são as putas,é um:, calão carroceiro,none,3
914,colhões,elemento constituinte dos órgãos sexuais masculinos, calão muito carroceiro, quilhões; tomates; testículos,4
916,colo de brocha,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come sopa de minhoca; come merda que não tem osso,3
917,com a cona aos pulos,diz-se de uma mulher com vontade de sexo, calão muito carroceiro, estar com o pito aos saltos; estar com o cio; estar com tusa; estar cheia de fome,4
923,come merda que não tem osso,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come sopa de minhoca; colo de brocha,3
928,comer comida de urso,"apanhar pancada, ser sovado", calão, levar para o tabaco,2
935,come sopa de minhoca,alternativa insultuosa para quem se recusa a fazer um serviço, calão carroceiro, come merda que não tem osso; colo de brocha,3
973,com todos os matadores,sem faltar nada, coloquial,none,1
977,cona,órgão sexual feminino, calão muito carroceiro," pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",4
978,conaça,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; crica;
          aranha; fanesga; boca do corpo; xana; snaita",4
979,cona de sabão,sujeito que só atrapalha, calão carroceiro, enreda; empata; empecilho; estrupício,3
984,coneirices,&bullet; factos ou coisas de pouco ou nenhum valor, calão carroceiro," cunices; merdices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada",3
985,coneiro,é um:, calão carroceiro, cagão; medricas; cagarolas; cobarde; cobardolas; roto; pancona; tanso; lerdo,3
988,confundir cagalhões com nêsperas,é um:, calão carroceiro," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir o olho do cu com a feira de Montemor; confundir o olho do cu
          com a feira de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o
          corredor de fundo com o fundo do corredor; tomar a nuvem por Juno",3
991,confundir o olho do cu com a feira de Borba,é um:, calão," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Montemor; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno",2
992,confundir o olho do cu com a feira de Montemor,é um:, calão," misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno",2
1004,coninha de sabão,representa alguém que é manhoso e interesseiro, calão, interesseiro; egoísta; dissimulado; manhoso,2
1005,coño,é um:, calão carroceiro, nuestros hermanos,3
1025,convém é acordar vivo. Acordas morto estás fodido,expressão depressiva pseudo-optimista que no fundo não diz nada, calão, pelo menos não está a chover; podia ser pior; como estás? nunca pior; para pior não pode ir,2
1065,Corta a tua mãe às postas e faz arroz de puta,insulto a árbitro do mais violento e arrasador que se consegue, calão muito carroceiro," Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Tens mais cornos que um prato de
          caracóis meu grande filho da puta !; Filho de um saco de putas",4
1106,crica,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          aranha; fanesga; boca do corpo; xana; snaita",4
1110,crocodilar,enganar alguém, coloquial, vigarizar; passar a perna a alguém; levar à certa; endrominar; intrujar,1
1111,cromo,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; postal; autocolante; adesivo; besunta,1
1114,cu,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão, bunda; alcofa; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate,2
1115,cuarra,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",2
1122,cunices,&bullet; factos ou coisas de pouco ou nenhum valor, calão carroceiro," merdices; coneirices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada",3
1123,cunilingus,"acto sexual oro-genital, lamber a vagina", calão muito carroceiro, trombada; minete; lamber-te; passar a casa a pano; felácio; broche feminino,4
1129,cusinho lavadinho com águas de rosas,exclamação de não permissão, calão carroceiro, querias!; querias! batatinhas com enguias!,3
1138,dado e arregaçado só o caralho,é um:, calão carroceiro,none,3
1143,damar,"fazer a corte, namorar", coloquial, arrastar a asa; galantear; cortejar; fazer pé de alferes; flirtar,1
1170,dar à cremalheira,"comer, mastigar", calão, dar ao dente,2
1235,dar de frosques,"fugir, afastar-se (de alguém ou de situação problemáticas) ", coloquial," dar ares de Vila Diogo; dar à sola; dar de trancas; cavar; pirar-se; fugir; vazar; pôr-se no piro;
          pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a bulir; pôr-se a
          milhas; pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito; picar a mula;
          escafeder-se; acunhar; pisar fundo",1
